accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,fileURL,yearMonthDay,ticker
0000002488-25-000096,2025-06-17,2025-06-15,2025-06-17T20:12:54.000Z,,4,,,,8311,0,0,xslF345X05/wk-form4_1750191167.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000096/xslF345X05/wk-form4_1750191167.xml,20250615,AMD
0000002488-25-000094,2025-06-17,2025-06-13,2025-06-17T20:11:05.000Z,,4,,,,10916,0,0,xslF345X05/wk-form4_1750191058.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000094/xslF345X05/wk-form4_1750191058.xml,20250613,AMD
0000002488-25-000092,2025-06-13,2025-06-11,2025-06-13T20:11:54.000Z,,4,,,,8746,0,0,xslF345X05/wk-form4_1749845507.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000092/xslF345X05/wk-form4_1749845507.xml,20250611,AMD
0001950047-25-004255,2025-06-13,,2025-06-13T20:01:56.000Z,33,144,001-07882,251046328,,6863,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004725004255/xsl144X01/primary_doc.xml,20250613,AMD
0000002488-25-000089,2025-06-03,2025-05-14,2025-06-03T20:26:04.000Z,34,8-K/A,001-07882,251019946,"5.07,9.01",193862,1,1,amd-20250514.htm,8-K/A,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000089/amd-20250514.htm,20250514,AMD
0000002488-25-000087,2025-05-29,,2025-05-29T20:25:31.000Z,34,SD,001-07882,251003783,,313867,0,0,formsd-amd2024.htm,SD,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000087/formsd-amd2024.htm,20250529,AMD
0000002488-25-000082,2025-05-22,2025-05-20,2025-05-22T20:14:05.000Z,,4,,,,5004,0,0,xslF345X05/wk-form4_1747944836.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000082/xslF345X05/wk-form4_1747944836.xml,20250520,AMD
0000002488-25-000080,2025-05-19,2025-05-15,2025-05-19T20:07:05.000Z,,4,,,,12840,0,0,xslF345X05/wk-form4_1747685215.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000080/xslF345X05/wk-form4_1747685215.xml,20250515,AMD
0001193125-25-122121,2025-05-19,2025-05-18,2025-05-19T11:50:48.000Z,34,8-K,001-07882,25961518,"1.01,7.01,9.01",950265,1,1,d831221d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525122121/d831221d8k.htm,20250518,AMD
0000002488-25-000078,2025-05-16,2025-05-14,2025-05-16T20:42:03.000Z,,4,,,,5329,0,0,xslF345X05/wk-form4_1747428113.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000078/xslF345X05/wk-form4_1747428113.xml,20250514,AMD
0000002488-25-000076,2025-05-16,2025-05-14,2025-05-16T20:39:59.000Z,,4,,,,5472,0,0,xslF345X05/wk-form4_1747427991.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000076/xslF345X05/wk-form4_1747427991.xml,20250514,AMD
0000002488-25-000074,2025-05-16,2025-05-14,2025-05-16T20:37:27.000Z,,4,,,,5293,0,0,xslF345X05/wk-form4_1747427828.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000074/xslF345X05/wk-form4_1747427828.xml,20250514,AMD
0000002488-25-000072,2025-05-16,2025-05-14,2025-05-16T20:35:17.000Z,,4,,,,5500,0,0,xslF345X05/wk-form4_1747427704.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000072/xslF345X05/wk-form4_1747427704.xml,20250514,AMD
0000002488-25-000070,2025-05-16,2025-05-14,2025-05-16T20:31:33.000Z,,4,,,,5322,0,0,xslF345X05/wk-form4_1747427486.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000070/xslF345X05/wk-form4_1747427486.xml,20250514,AMD
0000002488-25-000068,2025-05-16,2025-05-14,2025-05-16T20:29:48.000Z,,4,,,,5672,0,0,xslF345X05/wk-form4_1747427382.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000068/xslF345X05/wk-form4_1747427382.xml,20250514,AMD
0000002488-25-000066,2025-05-16,2025-05-14,2025-05-16T20:27:34.000Z,,4,,,,5381,0,0,xslF345X05/wk-form4_1747427248.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000066/xslF345X05/wk-form4_1747427248.xml,20250514,AMD
0000002488-25-000064,2025-05-16,2025-05-14,2025-05-16T20:12:37.000Z,34,8-K,001-07882,25959359,"5.07,9.01",229768,1,1,amd-20250514.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000064/amd-20250514.htm,20250514,AMD
0001950047-25-003037,2025-05-15,,2025-05-15T20:02:53.000Z,33,144,001-07882,25952479,,6162,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004725003037/xsl144X01/primary_doc.xml,20250515,AMD
0000002488-25-000062,2025-05-12,2025-05-08,2025-05-12T20:16:29.000Z,,4,,,,8803,0,0,xslF345X05/wk-form4_1747080981.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000062/xslF345X05/wk-form4_1747080981.xml,20250508,AMD
0000002488-25-000060,2025-05-12,2025-05-08,2025-05-12T20:14:53.000Z,,4,,,,6647,0,0,xslF345X05/wk-form4_1747080885.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000060/xslF345X05/wk-form4_1747080885.xml,20250508,AMD
0000002488-25-000058,2025-05-12,2025-05-08,2025-05-12T20:13:24.000Z,,4,,,,7358,0,0,xslF345X05/wk-form4_1747080792.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000058/xslF345X05/wk-form4_1747080792.xml,20250508,AMD
0000002488-25-000056,2025-05-12,2025-05-08,2025-05-12T20:11:55.000Z,,4,,,,6695,0,0,xslF345X05/wk-form4_1747080705.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000056/xslF345X05/wk-form4_1747080705.xml,20250508,AMD
0000002488-25-000054,2025-05-12,2025-05-08,2025-05-12T20:10:15.000Z,,4,,,,6721,0,0,xslF345X05/wk-form4_1747080604.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000054/xslF345X05/wk-form4_1747080604.xml,20250508,AMD
0000002488-25-000047,2025-05-07,2025-03-29,2025-05-06T22:04:48.000Z,34,10-Q,001-07882,25918699,,7676152,1,1,amd-20250329.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000047/amd-20250329.htm,20250329,AMD
0000002488-25-000045,2025-05-06,2025-05-06,2025-05-06T20:16:45.000Z,34,8-K,001-07882,25917502,"2.02,7.01,9.01",4302175,1,1,amd-20250506.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000045/amd-20250506.htm,20250506,AMD
0000002488-25-000042,2025-04-17,2025-04-15,2025-04-17T20:17:17.000Z,,4,,,,10912,0,0,xslF345X05/wk-form4_1744921029.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000042/xslF345X05/wk-form4_1744921029.xml,20250415,AMD
0000002488-25-000039,2025-04-16,2025-04-15,2025-04-16T13:03:30.000Z,34,8-K,001-07882,25841350,8.01,163296,1,1,amd-20250415.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000039/amd-20250415.htm,20250415,AMD
0001950047-25-002461,2025-04-15,,2025-04-15T20:02:17.000Z,33,144,001-07882,25839449,,6162,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004725002461/xsl144X01/primary_doc.xml,20250415,AMD
0001193125-25-067974,2025-03-31,,2025-03-31T13:14:35.000Z,33,S-3ASR,333-286248,25789208,,450866,1,1,d939073ds3asr.htm,S-3ASR,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067974/d939073ds3asr.htm,20250331,AMD
0001193125-25-067902,2025-03-31,2025-03-31,2025-03-31T12:37:51.000Z,34,8-K,001-07882,25789096,"2.01,2.03,3.02,7.01,9.01",1376381,1,1,d943962d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067902/d943962d8k.htm,20250331,AMD
0001193125-25-067185,2025-03-28,2024-12-31,2025-03-28T20:44:08.000Z,34,ARS,001-07882,25787119,,35133103,0,0,d858533dars.pdf,ARS,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067185/d858533dars.pdf,20241231,AMD
0001193125-25-067181,2025-03-28,,2025-03-28T20:42:14.000Z,34,DEFA14A,001-07882,25787081,,148139,0,0,d869679ddefa14a.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067181/d869679ddefa14a.htm,20250328,AMD
0001193125-25-067170,2025-03-28,2025-05-14,2025-03-28T20:36:04.000Z,34,DEF 14A,001-07882,25786972,,7089618,1,1,d869673ddef14a.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067170/d869673ddef14a.htm,20250514,AMD
0001193125-25-061366,2025-03-24,2025-03-24,2025-03-24T20:17:24.000Z,34,8-K,001-07882,25764372,"1.01,2.03,8.01,9.01",444001,1,1,d914634d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525061366/d914634d8k.htm,20250324,AMD
0000002488-25-000034,2025-03-18,2025-03-14,2025-03-18T20:31:15.000Z,,4,,,,10922,0,0,xslF345X05/wk-form4_1742329868.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000034/xslF345X05/wk-form4_1742329868.xml,20250314,AMD
0001193125-25-054900,2025-03-14,2025-05-14,2025-03-14T21:19:58.000Z,34,PRE 14A,001-07882,25741329,,6947633,1,1,d869673dpre14a.htm,PRE 14A,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525054900/d869673dpre14a.htm,20250514,AMD
0000002488-25-000032,2025-03-14,2025-03-12,2025-03-14T20:10:18.000Z,,4,,,,7646,0,0,xslF345X05/wk-form4_1741983012.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000032/xslF345X05/wk-form4_1741983012.xml,20250312,AMD
0001950047-25-001844,2025-03-14,,2025-03-14T20:02:08.000Z,33,144,001-07882,25739858,,5469,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004725001844/xsl144X01/primary_doc.xml,20250314,AMD
0001193125-25-052170,2025-03-12,,2025-03-12T10:15:28.000Z,33,424B5,333-265433,25729894,,772816,1,1,d896271d424b5.htm,424B5,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525052170/d896271d424b5.htm,20250312,AMD
0001193125-25-052173,2025-03-12,2025-03-10,2025-03-12T00:14:01.000Z,34,8-K,001-07882,25729653,"1.01,9.01",387504,1,1,d925853d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525052173/d925853d8k.htm,20250310,AMD
0001193125-25-051090,2025-03-10,,2025-03-10T21:16:59.000Z,34,FWP,333-265433,25724825,,28453,0,0,d919171dfwp.htm,FWP,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525051090/d919171dfwp.htm,20250310,AMD
0001193125-25-050436,2025-03-10,,2025-03-10T12:43:49.000Z,33,424B5,333-265433,25722312,,574349,0,0,d896271d424b5.htm,424B5,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525050436/d896271d424b5.htm,20250310,AMD
0000002488-25-000030,2025-03-03,2024-12-04,2025-03-03T21:21:30.000Z,,4/A,,,,16335,0,0,xslF345X05/wk-form4a_1741036878.xml,FORM 4/A,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000030/xslF345X05/wk-form4a_1741036878.xml,20241204,AMD
0000002488-25-000028,2025-03-03,2025-02-19,2025-03-03T21:11:52.000Z,,3,,,,27304,0,0,xslF345X02/wk-form3_1741036303.xml,FORM 3,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000028/xslF345X02/wk-form3_1741036303.xml,20250219,AMD
0000002488-25-000026,2025-02-24,2025-02-18,2025-02-24T22:20:12.000Z,34,8-K,001-07882,25658239,5.02,163741,1,1,amd-20250218.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000026/amd-20250218.htm,20250218,AMD
0000002488-25-000024,2025-02-19,2025-02-15,2025-02-19T21:33:49.000Z,,4,,,,8296,0,0,xslF345X05/wk-form4_1740000814.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000024/xslF345X05/wk-form4_1740000814.xml,20250215,AMD
0000002488-25-000022,2025-02-19,2025-02-15,2025-02-19T21:29:39.000Z,,4,,,,8298,0,0,xslF345X05/wk-form4_1740000572.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000022/xslF345X05/wk-form4_1740000572.xml,20250215,AMD
0000002488-25-000020,2025-02-19,2025-02-15,2025-02-19T21:26:25.000Z,,4,,,,8270,0,0,xslF345X05/wk-form4_1740000369.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000020/xslF345X05/wk-form4_1740000369.xml,20250215,AMD
0000002488-25-000018,2025-02-19,2025-02-15,2025-02-19T21:22:41.000Z,,4,,,,8442,0,0,xslF345X05/wk-form4_1740000155.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000018/xslF345X05/wk-form4_1740000155.xml,20250215,AMD
0000002488-25-000016,2025-02-19,2025-02-14,2025-02-19T21:19:39.000Z,,4,,,,12851,0,0,xslF345X05/wk-form4_1739999967.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000016/xslF345X05/wk-form4_1739999967.xml,20250214,AMD
0001950047-25-000852,2025-02-14,,2025-02-14T21:02:40.000Z,33,144,001-07882,25628116,,4769,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004725000852/xsl144X01/primary_doc.xml,20250214,AMD
0000002488-25-000014,2025-02-12,2025-02-07,2025-02-12T21:45:33.000Z,,4,,,,5011,0,0,xslF345X05/wk-form4_1739396726.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000014/xslF345X05/wk-form4_1739396726.xml,20250207,AMD
0000002488-25-000012,2025-02-05,2024-12-28,2025-02-05T21:42:57.000Z,34,10-K,001-07882,25593957,,13523756,1,1,amd-20241228.htm,10-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000012/amd-20241228.htm,20241228,AMD
0000002488-25-000009,2025-02-04,2025-02-04,2025-02-04T21:17:17.000Z,34,8-K,001-07882,25588437,"2.02,7.01,9.01",5783019,1,1,amd-20250204.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000009/amd-20250204.htm,20250204,AMD
0000002488-25-000005,2025-01-17,2025-01-15,2025-01-17T21:23:27.000Z,,4,,,,8498,0,0,xslF345X05/wk-form4_1737149001.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000005/xslF345X05/wk-form4_1737149001.xml,20250115,AMD
0000002488-25-000003,2025-01-17,2025-01-15,2025-01-17T21:20:53.000Z,,4,,,,8287,0,0,xslF345X05/wk-form4_1737148846.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000003/xslF345X05/wk-form4_1737148846.xml,20250115,AMD
0000002488-24-000178,2024-12-17,2024-12-15,2024-12-17T21:15:57.000Z,,4,,,,8577,0,0,xslF345X05/wk-form4_1734470151.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000178/xslF345X05/wk-form4_1734470151.xml,20241215,AMD
0000002488-24-000176,2024-12-06,2024-12-04,2024-12-06T21:14:06.000Z,,4,,,,15707,0,0,xslF345X05/wk-form4_1733519640.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000176/xslF345X05/wk-form4_1733519640.xml,20241204,AMD
0001950047-24-009417,2024-12-04,,2024-12-04T21:35:53.000Z,33,144,001-07882,241526656,,6228,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004724009417/xsl144X01/primary_doc.xml,20241204,AMD
0000002488-24-000174,2024-11-20,2024-11-18,2024-11-20T21:50:39.000Z,,3,,,,12025,0,0,xslF345X02/wk-form3_1732139432.xml,FORM 3,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000174/xslF345X02/wk-form3_1732139432.xml,20241118,AMD
0000002488-24-000172,2024-11-18,2024-11-13,2024-11-18T21:17:24.000Z,34,8-K,001-07882,241471734,"5.02,9.01",243181,1,1,amd-20241113.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000172/amd-20241113.htm,20241113,AMD
0000002488-24-000169,2024-11-08,2024-11-06,2024-11-08T21:26:35.000Z,,4,,,,17640,0,0,xslF345X05/wk-form4_1731101188.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000169/xslF345X05/wk-form4_1731101188.xml,20241106,AMD
0000002488-24-000167,2024-11-07,2024-11-05,2024-11-07T21:17:18.000Z,,4,,,,8440,0,0,xslF345X05/wk-form4_1731014219.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000167/xslF345X05/wk-form4_1731014219.xml,20241105,AMD
0001950047-24-008166,2024-11-06,,2024-11-06T21:58:24.000Z,33,144,001-07882,241431942,,6228,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004724008166/xsl144X01/primary_doc.xml,20241106,AMD
0001972362-24-001485,2024-11-05,,2024-11-05T22:05:14.000Z,33,144,001-07882,241428450,,4176,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000197236224001485/xsl144X01/primary_doc.xml,20241105,AMD
0000002488-24-000165,2024-11-05,2024-11-01,2024-11-05T21:07:41.000Z,,4,,,,4482,0,0,xslF345X05/wk-form4_1730840851.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000165/xslF345X05/wk-form4_1730840851.xml,20241101,AMD
0000002488-24-000163,2024-10-30,2024-09-28,2024-10-30T20:26:03.000Z,34,10-Q,001-07882,241410722,,7430463,1,1,amd-20240928.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000163/amd-20240928.htm,20240928,AMD
0000002488-24-000161,2024-10-29,2024-10-29,2024-10-29T20:16:49.000Z,34,8-K,001-07882,241405944,"2.02,7.01,9.01",4595539,1,1,amd-20241029.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000161/amd-20241029.htm,20241029,AMD
0000002488-24-000157,2024-09-17,2024-09-15,2024-09-17T20:21:52.000Z,,4,,,,8494,0,0,xslF345X05/wk-form4_1726604505.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000157/xslF345X05/wk-form4_1726604505.xml,20240915,AMD
0000002488-24-000155,2024-09-13,2024-09-11,2024-09-13T20:15:04.000Z,,4,,,,29223,0,0,xslF345X05/wk-form4_1726258496.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000155/xslF345X05/wk-form4_1726258496.xml,20240911,AMD
0001950047-24-006959,2024-09-11,,2024-09-11T20:19:11.000Z,33,144,001-07882,241292862,,5514,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004724006959/xsl144X01/primary_doc.xml,20240911,AMD
0000002488-24-000153,2024-08-22,2024-08-20,2024-08-22T20:13:14.000Z,,4,,,,25360,0,0,xslF345X05/wk-form4_1724357588.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000153/xslF345X05/wk-form4_1724357588.xml,20240820,AMD
0001950047-24-006270,2024-08-20,,2024-08-20T20:26:54.000Z,33,144,001-07882,241225505,,5515,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004724006270/xsl144X01/primary_doc.xml,20240820,AMD
0000002488-24-000151,2024-08-19,2024-08-15,2024-08-19T20:26:24.000Z,,4,,,,10277,0,0,xslF345X05/wk-form4_1724099175.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000151/xslF345X05/wk-form4_1724099175.xml,20240815,AMD
0000002488-24-000149,2024-08-19,2024-08-15,2024-08-19T20:24:17.000Z,,4,,,,11090,0,0,xslF345X05/wk-form4_1724099050.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000149/xslF345X05/wk-form4_1724099050.xml,20240815,AMD
0000002488-24-000147,2024-08-19,2024-08-15,2024-08-19T20:22:02.000Z,,4,,,,8178,0,0,xslF345X05/wk-form4_1724098915.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000147/xslF345X05/wk-form4_1724098915.xml,20240815,AMD
0000002488-24-000145,2024-08-19,2024-08-15,2024-08-19T20:19:38.000Z,,4,,,,8138,0,0,xslF345X05/wk-form4_1724098771.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000145/xslF345X05/wk-form4_1724098771.xml,20240815,AMD
0001193125-24-202457,2024-08-19,2024-08-17,2024-08-19T10:22:30.000Z,34,8-K,001-07882,241218207,"1.01,3.02,7.01,9.01",888675,1,1,d808469d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000119312524202457/d808469d8k.htm,20240817,AMD
0000002488-24-000143,2024-08-13,2024-08-09,2024-08-13T20:36:07.000Z,,4,,,,14761,0,0,xslF345X05/wk-form4_1723581359.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000143/xslF345X05/wk-form4_1723581359.xml,20240809,AMD
0000002488-24-000141,2024-08-13,2024-08-09,2024-08-13T20:33:41.000Z,,4,,,,11126,0,0,xslF345X05/wk-form4_1723581214.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000141/xslF345X05/wk-form4_1723581214.xml,20240809,AMD
0000002488-24-000139,2024-08-13,2024-08-09,2024-08-13T20:31:32.000Z,,4,,,,25320,0,0,xslF345X05/wk-form4_1723581084.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000139/xslF345X05/wk-form4_1723581084.xml,20240809,AMD
0000002488-24-000137,2024-08-13,2024-08-09,2024-08-13T20:28:11.000Z,,4,,,,19891,0,0,xslF345X05/wk-form4_1723580792.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000137/xslF345X05/wk-form4_1723580792.xml,20240809,AMD
0000002488-24-000135,2024-08-13,2024-08-09,2024-08-13T20:22:55.000Z,,4,,,,15726,0,0,xslF345X05/wk-form4_1723580568.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000135/xslF345X05/wk-form4_1723580568.xml,20240809,AMD
0000002488-24-000133,2024-08-13,2024-08-09,2024-08-13T20:20:27.000Z,,4,,,,24039,0,0,xslF345X05/wk-form4_1723580420.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000133/xslF345X05/wk-form4_1723580420.xml,20240809,AMD
0000002488-24-000131,2024-08-13,2024-08-09,2024-08-13T20:17:08.000Z,,4,,,,15673,0,0,xslF345X05/wk-form4_1723580217.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000131/xslF345X05/wk-form4_1723580217.xml,20240809,AMD
0000002488-24-000129,2024-08-13,2024-08-09,2024-08-13T20:14:48.000Z,,4,,,,19891,0,0,xslF345X05/wk-form4_1723580075.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000129/xslF345X05/wk-form4_1723580075.xml,20240809,AMD
0000002488-24-000127,2024-08-13,2024-08-09,2024-08-13T20:11:07.000Z,,4,,,,10752,0,0,xslF345X05/wk-form4_1723579860.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000127/xslF345X05/wk-form4_1723579860.xml,20240809,AMD
0000002488-24-000125,2024-08-07,2024-08-05,2024-08-07T20:15:50.000Z,,4,,,,6922,0,0,xslF345X05/wk-form4_1723061741.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000125/xslF345X05/wk-form4_1723061741.xml,20240805,AMD
0000002488-24-000123,2024-07-31,2024-06-29,2024-07-31T20:20:22.000Z,34,10-Q,001-07882,241162270,,7285958,1,1,amd-20240629.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000123/amd-20240629.htm,20240629,AMD
0000002488-24-000121,2024-07-30,2024-07-30,2024-07-30T20:17:15.000Z,34,8-K,001-07882,241157659,"2.02,7.01,9.01",4563765,1,1,amd-20240730.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000121/amd-20240730.htm,20240730,AMD
0000002488-24-000115,2024-07-22,2024-07-20,2024-07-22T20:13:32.000Z,34,8-K,001-07882,241131660,"5.02,9.01",194522,1,1,amd-20240720.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000115/amd-20240720.htm,20240720,AMD
0000002488-24-000113,2024-07-17,2024-07-15,2024-07-17T20:07:35.000Z,,4,,,,8411,0,0,xslF345X05/wk-form4_1721246848.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000113/xslF345X05/wk-form4_1721246848.xml,20240715,AMD
0000002488-24-000111,2024-07-16,2024-07-12,2024-07-16T20:13:20.000Z,,4,,,,11239,0,0,xslF345X05/wk-form4_1721160792.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000111/xslF345X05/wk-form4_1721160792.xml,20240712,AMD
0001950047-24-005375,2024-07-15,,2024-07-15T20:05:20.000Z,33,144,001-07882,241117302,,6115,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004724005375/xsl144X01/primary_doc.xml,20240715,AMD
0000002488-24-000109,2024-07-02,2024-06-27,2024-07-02T20:24:40.000Z,34,8-K,001-07882,241095794,5.02,179342,1,1,amd-20240627.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000109/amd-20240627.htm,20240627,AMD
0000002488-24-000106,2024-06-18,2024-06-15,2024-06-18T20:18:09.000Z,,4,,,,10421,0,0,xslF345X05/wk-form4_1718741882.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000106/xslF345X05/wk-form4_1718741882.xml,20240615,AMD
0000002488-24-000104,2024-06-18,2024-06-14,2024-06-18T20:12:29.000Z,,4,,,,14199,0,0,xslF345X05/wk-form4_1718741542.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000104/xslF345X05/wk-form4_1718741542.xml,20240614,AMD
0001950047-24-004749,2024-06-14,,2024-06-14T20:03:45.000Z,33,144,001-07882,241044648,,6815,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004724004749/xsl144X01/primary_doc.xml,20240614,AMD
0000002488-24-000102,2024-06-13,2024-06-11,2024-06-13T20:14:12.000Z,,4,,,,5577,0,0,xslF345X05/wk-form4_1718309643.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000102/xslF345X05/wk-form4_1718309643.xml,20240611,AMD
0000002488-24-000100,2024-06-12,2024-06-10,2024-06-12T20:34:23.000Z,,4,,,,9017,0,0,xslF345X05/wk-form4_1718224454.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000100/xslF345X05/wk-form4_1718224454.xml,20240610,AMD
